Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Sodhi-Dey Technologies,Automobiles,"Karnataka, India",$10M to $50M,Active,2021,—,Automotive,0,—,501-1000,2,Growing,$1M to $5M,Medium,Medium,1647084,735.0817312000706,6370.707829098625,4,496
Radhakrishnan-Keer Solutions,Ports,"West Bengal, India",$100M to $500M,Active,2022,Series A,Transportation,4,"Jatin Borde, Champak Deol, Rishi Atwal, Eesha Agrawal",251-500,7,Growing,$50M to $100M,Growing,—,602843,1141.1166546701859,8827.16132943173,9,1661
"Grewal, Majumdar and Wagle Innovations",Ports,"West Bengal, India",$1B to $10B,Active,2018,—,Transportation,1,Chaitaly Barman,101-250,0,—,$1M to $5M,Medium,High,1869633,450.3818252011066,6196.628086269421,9,631
Bassi-Keer Innovations,Healthcare,"Madhya Pradesh, India",$10M to $50M,Active,2024,IPO,Healthcare,3,"Vrinda Chaudhari, Indali Madan, Gavin Divan",11-50,3,Early Stage Venture,—,High,Low,223351,1859.432529512669,2332.7245182953197,1,685
"Tella, Nayak and Guha Technologies",Biotechnology,"Gujarat, India",$1B to $10B,Active,2021,Series A,Biotechnology,0,—,51-100,4,Seed,$100M to $500M,Growing,High,590143,891.5949831137199,4210.39369473882,10,1098
Hans Ltd Technologies,Biotechnology,"Nagaland, India",Less than $1M,Closed,2019,Series C,Biotechnology,1,Sachi Kunda,11-50,3,Seed,—,Medium,Low,1962,-51.464413130432376,7642.973927271715,7,2223
Majumdar-Bawa Labs,Ports,"Haryana, India",$10B+,Active,2018,Series C,Transportation,0,—,251-500,6,Early Stage Venture,$0,Growing,Medium,1681800,1655.813049554125,2807.800880535668,0,2064
Chad Inc Technologies,Biotechnology,"Jharkhand, India",Less than $1M,Active,2022,Series C,Biotechnology,3,"Krishna Mishra, Kashish Sule, Liam Hayre",101-250,6,Early Stage Venture,—,Medium,Medium,1584345,1178.8675760388728,1598.6900419050658,10,131
Gala Ltd Pvt Ltd,Science and Technology,"Manipur, India",$10B+,Active,2024,IPO,Technology,5,"Dev Chaudhry, Ayushman Dubey, Brijesh Vaidya, Adweta Behl, Sneha Cherian",1-10,4,Seed,—,Growing,High,500312,355.3228869766892,9539.527512498164,7,1248
Gour Ltd Innovations,Science and Technology,"Goa, India",$100M to $500M,Active,2020,Series A,Technology,3,"Sara Sandal, Benjamin Sarin, Yashica Mani",501-1000,7,Seed,$50M to $100M,Growing,Medium,1539246,1166.2294251415535,6596.125229260282,2,2405
"Tella, Lalla and Sarraf Labs",Steel,"Nagaland, India",$10B+,Active,2023,—,Manufacturing,0,—,501-1000,4,—,$500K to $1M,High,Low,15043,470.50238110697603,1721.3489026259642,10,479
Behl Group Labs,Food Processing,"Punjab, India",$10B+,Active,2020,Seed,Food and Beverage,2,"Zansi Sankar, Ranveer Gour",1-10,4,—,$500K to $1M,—,Medium,88884,339.55114056676496,4020.4660907772723,8,1693
Barad-Dhingra Labs,E-Commerce,"Odisha, India",$1M to $10M,Active,2021,—,Commerce,0,—,1-10,0,—,$500K to $1M,Medium,High,480275,661.993805385357,5904.9814249369865,4,1448
"D’Alia, Morar and Gill Technologies",Education and Training,"Jharkhand, India",$100M to $500M,Active,2022,Seed,Education,0,—,101-250,4,—,$500K to $1M,Medium,Medium,1299401,973.6629607818415,6846.006760502067,7,217
Sama Ltd Labs,Automobiles,"Uttar Pradesh, India",Less than $1M,Active,2019,Series C,Automotive,3,"Yatin Jha, Samar Walia, Jacob Barman",1001-5000,1,M&A,$50M to $100M,Medium,High,1112329,1757.258880118149,3650.5773255761815,2,1719
"Pal, Bala and Datta Pvt Ltd",Chemicals,"Maharashtra, India",$1M to $10M,Active,2018,Series C,Chemicals,3,"George Puri, Yuvraj Singhal, Falak Bhatia",51-100,1,Seed,$10M to $50M,—,Medium,780158,1438.1982372365367,4985.187267929587,3,887
Seth LLC Solutions,Cement,"Nagaland, India",$10B+,Active,2021,Series A,Construction,2,"Samaksh Walla, Jairaj Naidu",101-250,5,—,$50M to $100M,Growing,Low,1681158,805.4958531223579,9252.318626834232,2,221
Atwal PLC Technologies,Automobiles,"Sikkim, India",$100M to $500M,Active,2018,Series B,Automotive,2,"Michael Krish, Laksh Rao",51-100,2,Seed,$100K to $500K,—,Medium,1415457,571.252047507313,7562.373389825194,7,233
Balan Inc Innovations,Retail,"Rajasthan, India",$100M to $500M,Active,2017,Series B,Commerce,3,"Anirudh Ganguly, Chatresh Baral, Omaja Dyal",501-1000,1,Seed,$0,Growing,Low,1326173,1773.0511647746073,2776.037999978672,1,2028
Vohra-Divan Pvt Ltd,Electric Vehicle,"West Bengal, India",$10B+,Active,2018,Seed,Automotive,2,"Faris Agrawal, Harish Saran",51-100,5,Seed,$0,Medium,Medium,734316,1453.736565845645,5252.017701533712,0,1334
Bajaj-Yohannan Innovations,E-Commerce,"Haryana, India",$1M to $10M,Closed,2020,—,Commerce,0,—,11-50,0,—,—,Growing,Low,2224,-71.1086268556289,19.122439433340816,7,1121
Gade-Mander Pvt Ltd,Gems and Jewellery,"Assam, India",$100M to $500M,Active,2022,Seed,Luxury Goods,0,—,1001-5000,2,Growing,$0,Growing,Low,535117,1238.7816708339026,7233.437286387833,7,99
Issac LLC Solutions,Banking,"Arunachal Pradesh, India",Less than $1M,Closed,2017,Series B,Financial Services,5,"Aayush Gill, Ayush Dhar, David Saraf, Hemang Sahni, Zaitra Bhandari",51-100,1,Growing,$500K to $1M,High,Low,32360,-77.531827896974,3775.6775466847726,1,1236
"Soni, Gole and Roy Solutions",Insurance,"Manipur, India",Less than $1M,Closed,2019,IPO,Financial Services,2,"Varsha Banerjee, Michael Baria",11-50,2,—,$0,—,Low,5211,-90.98353787430804,4608.311948081361,9,749
Shenoy-Sachar Innovations,Oil and Gas,"Andhra Pradesh, India",$1M to $10M,Closed,2021,—,Energy,4,"Hiral Apte, Abhimanyu Krishnamurthy, Shivani Shukla, Lucky Subramanian",11-50,0,—,$100K to $500K,Growing,Low,470,-89.97740420893354,3961.7590189021766,2,158
"Singh, Gole and Kade Innovations",FMCG,"Kerala, India",$1M to $10M,Closed,2017,—,Consumer Goods,3,"Kamya Sagar, Amaira Bumb, Yatan Sami",11-50,0,—,—,Growing,Low,6804,-86.86787033066791,8007.808635799539,9,152
Thakur PLC Solutions,Healthcare,"Himachal Pradesh, India",$1M to $10M,Active,2021,Series B,Healthcare,1,Deepa Basu,1-10,6,—,$50M to $100M,Growing,Medium,111673,1113.4259642783861,8021.470289911807,2,275
Iyer-Sharaf Technologies,Manufacturing,"Nagaland, India",$1M to $10M,Active,2017,IPO,Manufacturing,4,"Triya Chanda, Aayush Solanki, Yug Ben, Laban Solanki",101-250,4,Growing,$10M to $50M,High,Medium,312084,366.8777753240886,1788.2358750089606,8,881
"Savant, Bhatt and Sandhu Innovations",Infrastructure,"Bihar, India",$1M to $10M,Closed,2018,—,Infrastructure,3,"Maanas Ramachandran, Inaya Varty, Bishakha Samra",1-10,0,—,$0,Growing,Low,8883,-52.39369684867666,2437.558412343058,4,580
"Sinha, Murty and Mitra Solutions",Engineering and Capital Goods,"Punjab, India",$10M to $50M,Active,2022,Series B,Engineering,3,"Kabir Thakkar, Shivani Parekh, Ekanta Pal",1001-5000,3,M&A,$10M to $50M,High,Medium,1955834,-70.58473354568643,2517.651011451799,10,1751
Manda Group Solutions,Steel,"Gujarat, India",$50M to $100M,Active,2022,—,Manufacturing,2,"Dev Bawa, Ladli Luthra",1-10,3,Early Stage Venture,$1M to $5M,—,High,1729343,505.6628894827734,4823.752076245498,4,1150
"Borah, Dalal and Barman Solutions",E-Commerce,"Punjab, India",$10M to $50M,Active,2023,Series B,Commerce,1,Bhavya Nagarajan,1-10,1,Seed,$500K to $1M,Growing,Low,423410,349.71025190248406,2865.414272501101,3,574
Agate and Sons Innovations,Banking,"Bihar, India",$1M to $10M,Active,2022,IPO,Financial Services,1,Onkar Khanna,1001-5000,7,—,$500K to $1M,High,—,443267,1312.2757901686564,2792.2449105044543,7,1668
Krishnamurthy-Bansal Pvt Ltd,Infrastructure,"Madhya Pradesh, India",$1B to $10B,Active,2017,Seed,Infrastructure,5,"Pratyush Sood, Barkha Sodhi, Aarav Joshi, Lohit Kibe, Yashasvi Ramachandran",251-500,2,Early Stage Venture,$500K to $1M,—,High,1830308,185.46903409723058,7806.562559338509,6,1280
"Palla, Mody and Deol Technologies",Science and Technology,"Jharkhand, India",$1M to $10M,Active,2022,—,Technology,2,"Manbir Narayanan, Yadavi Merchant",11-50,7,Seed,$0,Growing,Low,452032,1051.810051745312,7173.098978111023,10,299
Chad-Rao Labs,Biotechnology,"Punjab, India",$1M to $10M,Active,2023,Seed,Biotechnology,0,—,51-100,6,Growing,$1M to $5M,Growing,Low,1070715,63.66058423034613,7137.2856528111215,9,670
Bhargava and Sons Technologies,Manufacturing,"Madhya Pradesh, India",$100M to $500M,Active,2024,Seed,Manufacturing,2,"Alka More, Jagvi Yogi",11-50,4,Seed,$500K to $1M,Growing,Medium,655516,96.1172584152088,5941.541951288226,2,1732
Narang-Kanda Innovations,Renewable Energy,"Andhra Pradesh, India",Less than $1M,Closed,2022,Series B,Energy,4,"Rajata Kunda, Krish Kalla, Libni Dara, Wakeeta Bir",1-10,1,M&A,—,High,Low,3115,-71.18389930767474,1220.7814552161315,1,1429
Nanda-Bava Solutions,Defence Manufacturing,"Bihar, India",$1B to $10B,Active,2022,Series C,Defence,2,"Kabir Balasubramanian, Azaan Buch",501-1000,7,Early Stage Venture,$10M to $50M,Growing,High,1939933,1777.4265166285618,948.9894406536232,10,1891
Oommen LLC Solutions,Services,"Haryana, India",Less than $1M,Closed,2021,IPO,Services,2,"Fariq Barad, Alexander Balasubramanian",1-10,3,M&A,$0,Medium,Low,5879,-95.96088707218874,9240.919843828948,7,1671
Rattan Group Pvt Ltd,Financial Services,"Karnataka, India",$10M to $50M,Active,2021,Series B,Financial Services,2,"Dalaja Reddy, Nachiket Sahota",1-10,3,—,$5M to $10M,Growing,Low,655234,1904.0775104244137,2069.8172378032164,6,364
Mitter LLC Pvt Ltd,Oil and Gas,"Karnataka, India",$1M to $10M,Active,2020,—,Energy,4,"Nandini Dora, Lakshit Kant, Abdul Kohli, Ati Prabhakar",51-100,7,—,$50M to $100M,—,—,42474,1988.9226161875004,1808.9338981372043,0,264
Raval-Kala Technologies,Tourism and Hospitality,"Telangana, India",Less than $1M,Closed,2022,Series B,Hospitality,1,Oliver Rastogi,1-10,1,M&A,$500K to $1M,—,—,45599,-47.99377144623575,2296.0226663096373,3,1885
"Agarwal, Kar and Cheema Innovations",Pharmaceuticals,"Gujarat, India",$1M to $10M,Closed,2017,Series A,Pharmaceuticals,3,"Anmol Madan, Keya Bali, Girik Jha",11-50,1,M&A,$100K to $500K,—,—,18350,13.436477748979328,9117.061391196017,7,476
"Madan, Karan and Verma Innovations",Ports,"Nagaland, India",$10M to $50M,Closed,2024,IPO,Transportation,3,"Sai Sama, Triya Barad, Triya Bansal",11-50,3,—,$0,High,Low,46653,23.047334557561882,4835.6653989547485,9,2049
Kapadia-Seth Technologies,Oil and Gas,"Sikkim, India",$1M to $10M,Closed,2021,Series B,Energy,4,"Tanish Palla, Ubika Nayak, Yashodhara Desai, Bhavna Handa",11-50,3,Early Stage Venture,—,Growing,Low,6674,-86.14310621664927,3648.7227399210487,7,103
Dar and Sons Solutions,E-Commerce,"Tripura, India",$1B to $10B,Active,2020,—,Commerce,0,—,101-250,6,Growing,$100K to $500K,High,Low,816627,256.34597103797176,2562.4620223368033,3,1382
Zachariah-Edwin Labs,MSME,"Sikkim, India",$10B+,Active,2021,Series A,Small Business,4,"Viraj Chakrabarti, Arunima Bath, Leena Lal, Vivaan Jhaveri",11-50,7,Early Stage Venture,$10M to $50M,Medium,High,850431,112.2043469663895,8901.86261485126,1,1082
Mangal-Sehgal Technologies,FMCG,"Maharashtra, India",$1B to $10B,Active,2022,Series A,Consumer Goods,0,—,101-250,3,Seed,$0,Growing,—,1977828,533.5326833712849,2537.3543441827055,10,2201
Keer-Ratta Innovations,Healthcare,"Odisha, India",$10B+,Active,2024,Series C,Healthcare,0,—,501-1000,6,M&A,$100K to $500K,—,—,278874,1354.5353784717304,1544.3660773751487,0,2083
"Hayre, Venkatesh and Srinivas Labs",Science and Technology,"Madhya Pradesh, India",$100M to $500M,Active,2022,IPO,Technology,5,"Mekhala Natt, Yatan Mammen, Rohan Biswas, Fitan Mane, Farhan Pandit",101-250,1,Early Stage Venture,$1M to $5M,—,High,710509,157.2134150274012,2642.8291370880993,0,2030
Sant-Desai Pvt Ltd,IT & BPM,"Assam, India",$1M to $10M,Active,2022,Series B,Information Technology,0,—,501-1000,4,Early Stage Venture,$100M to $500M,—,Low,1655858,1232.8069973094612,8575.898128416773,7,544
Parmar-Sura Innovations,Services,"Uttarakhand, India",$1M to $10M,Closed,2023,—,Services,4,"Mahika Comar, Wazir Manne, Ijaya Nadig, Max Ganesh",11-50,0,—,$100K to $500K,Growing,Low,8241,-67.99601029708927,3306.7872825585705,1,354
Magar and Sons Labs,Ayush,"Manipur, India",$10B+,Active,2021,Series B,Healthcare,2,"Utkarsh Ram, Amrita Ratti",51-100,5,Growing,$10M to $50M,Medium,Medium,1851086,1795.7974502218506,5405.384241560912,4,1253
Raja PLC Pvt Ltd,Electric Vehicle,"Uttarakhand, India",$10B+,Active,2024,Series C,Automotive,5,"Idika Sarin, Umang Yadav, Manbir Varughese, Girik Sundaram, Balveer Srivastava",51-100,5,M&A,$50M to $100M,—,High,138886,748.4324100883771,6264.463011985912,1,2165
Sengupta-Tiwari Labs,Cement,"Jammu and Kashmir, India",$1M to $10M,Active,2021,Series B,Construction,1,Upkaar Rama,501-1000,4,M&A,$100M to $500M,Medium,—,897581,253.6474232595068,2030.9795786146246,8,1696
Vyas-Kumer Pvt Ltd,Oil and Gas,"Assam, India",$50M to $100M,Active,2022,Seed,Energy,0,—,11-50,6,—,$500K to $1M,Growing,High,110428,1462.8028298774889,337.1489060256486,1,1730
Prashad-Chhabra Technologies,Pharmaceuticals,"Jharkhand, India",$50M to $100M,Active,2022,Series B,Pharmaceuticals,3,"Neha Ramanathan, Yasti Dugal, Kala Naik",251-500,6,—,—,—,High,804584,1009.7771171395923,2137.407043743462,4,1007
Pradhan PLC Pvt Ltd,MSME,"West Bengal, India",$1M to $10M,Closed,2023,Seed,Small Business,1,Urishilla Rama,1-10,3,—,$0,Medium,Low,275,-39.417670114292214,4780.067359173932,4,616
Salvi-Kata Solutions,Ports,"Assam, India",$1B to $10B,Active,2024,IPO,Transportation,0,—,501-1000,6,—,$100M to $500M,—,—,1777743,-39.411398780101095,1589.0570442917824,5,1062
Dara and Sons Innovations,Automobiles,"Goa, India",$10M to $50M,Active,2019,—,Automotive,4,"Anmol Sani, Pahal Sachdev, Saumya Dubey, Abhimanyu Seshadri",51-100,2,—,$1M to $5M,—,—,1295012,610.9505593194533,292.0297915102753,3,1215
Oommen Inc Technologies,Pharmaceuticals,"Tripura, India",$10M to $50M,Active,2022,—,Pharmaceuticals,0,—,251-500,0,—,—,Growing,—,827009,1487.9492587873035,1051.0780167925532,4,914
Shetty Inc Technologies,Roads,"Punjab, India",$10M to $50M,Active,2017,Series A,Infrastructure,3,"Quincy Dasgupta, Nisha Randhawa, Turvi Sandal",51-100,5,Growing,$100K to $500K,Medium,High,1558292,666.0213581455135,8001.54087506238,1,1943
"Pradhan, Bajaj and Das Solutions",Ports,"West Bengal, India",$1M to $10M,Active,2017,Series A,Transportation,2,"Mason Borra, Orinder Bassi",11-50,6,Growing,$500K to $1M,Medium,Low,914737,1045.4825441159417,2721.721195529623,3,29
Bhargava Inc Technologies,Roads,"Jammu and Kashmir, India",$1M to $10M,Active,2022,Series C,Infrastructure,3,"Radhika Agrawal, Yatan Bajaj, Meera Purohit",101-250,4,Early Stage Venture,$100M to $500M,Medium,High,624744,521.987997152225,1035.0971305844182,3,2085
Dhawan-Bhakta Labs,Automobiles,"Rajasthan, India",$1M to $10M,Active,2024,Series C,Automotive,4,"Ekantika Kata, Dalaja Gupta, Arjun Kata, Ishita Nori",101-250,2,Seed,$500K to $1M,High,—,569362,1144.2823646634247,3264.684768409322,7,854
"Rau, Batta and Yogi Solutions",Cement,"Manipur, India",$1M to $10M,Active,2023,Seed,Construction,4,"Omisha Naik, Avni Sarna, Rachana Mitter, Zayan Bahl",11-50,2,Growing,$100M to $500M,Growing,—,1194016,-15.350130290582513,6368.182295603431,9,1202
Desai LLC Pvt Ltd,IT & BPM,"Uttar Pradesh, India",Less than $1M,Closed,2018,—,Information Technology,3,"Qarin Buch, Qabil Bath, Rehaan Bhatnagar",11-50,0,—,—,Growing,Medium,28088,-30.074293198212843,4980.889063573218,9,1412
Bobal LLC Pvt Ltd,E-Commerce,"Manipur, India",$1M to $10M,Closed,2017,—,Commerce,3,"Vamakshi Aggarwal, Forum Gupta, Libni Gopal",51-100,0,—,$500K to $1M,—,Low,30658,17.865109420053358,8040.185386119089,3,1611
Dash-Saxena Innovations,Consumer Durables,"Tripura, India",$1B to $10B,Active,2023,—,Consumer Goods,4,"Ikbal Cheema, Hredhaan Balan, Yashawini Nadig, Omisha Raval",11-50,6,M&A,$50M to $100M,—,Low,1180777,768.8590335110262,7597.765647758094,8,1802
"Sinha, Murthy and Dalal Labs",Biotechnology,"Arunachal Pradesh, India",$1M to $10M,Closed,2018,IPO,Biotechnology,4,"Umang Saha, Ekansh Murty, Warda Behl, Rachita Ratti",1-10,1,Early Stage Venture,$0,Growing,Low,4641,-98.84434106961159,2251.9528824895137,8,194
"Morar, Dar and Saini Innovations",Engineering and Capital Goods,"Mizoram, India",Less than $1M,Active,2022,Series A,Engineering,1,Sachi Mitra,1-10,1,Growing,$500K to $1M,Growing,High,95080,1022.2844130340732,1351.1948758756546,1,925
"Dar, Mittal and Raju Solutions",Ayush,"Jharkhand, India",$1B to $10B,Active,2021,IPO,Healthcare,0,—,1-10,6,Seed,$0,High,Medium,1574380,150.45338962034873,2427.3540392152627,1,678
Banik and Sons Labs,Retail,"Kerala, India",$10B+,Active,2018,Series B,Commerce,1,Daksha Agrawal,51-100,5,Growing,$500K to $1M,Medium,Low,1222990,1740.1972032167976,905.1703768239636,9,2228
Jaggi PLC Innovations,Financial Services,"Chhattisgarh, India",$100M to $500M,Active,2018,—,Financial Services,3,"Anya Kunda, Yasti Virk, Sai Madan",1001-5000,0,—,$10M to $50M,—,Low,432085,503.4837178943486,9963.090170569385,9,349
"Goswami, Bhatia and Dash Labs",Automobiles,"Haryana, India",Less than $1M,Closed,2021,Series B,Automotive,2,"Jairaj Jha, Laban Keer",1-10,3,Seed,$0,Growing,Low,1438,-67.00155916665811,4569.339936696988,1,882
"Oommen, Gera and Dutta Pvt Ltd",Infrastructure,"Nagaland, India",Less than $1M,Closed,2021,—,Infrastructure,1,Nitara Deol,11-50,2,M&A,$100K to $500K,Medium,Low,2071,-82.42078737662783,4024.465040348644,8,656
Raman-Majumdar Technologies,Electric Vehicle,"Bihar, India",$1M to $10M,Closed,2024,Seed,Automotive,3,"Mitesh Tiwari, Vincent Vyas, Vanya Mishra",1-10,3,Seed,$0,Growing,Low,9020,-35.71109461778616,6540.420847233638,7,172
"Bhardwaj, Mann and Venkatesh Technologies",Education and Training,"Telangana, India",Less than $1M,Active,2022,Series C,Education,0,—,11-50,4,M&A,$500K to $1M,—,High,1093229,1290.9340671356576,-55.82134054014594,0,509
"Nayar, Chowdhury and Biswas Technologies",Services,"Tamil Nadu, India",$10M to $50M,Active,2022,Seed,Services,0,—,501-1000,4,Seed,—,—,Medium,723914,1816.045517939024,4163.003115600808,9,1649
Kohli-Bhalla Pvt Ltd,Pharmaceuticals,"Himachal Pradesh, India",$1M to $10M,Active,2020,Series C,Pharmaceuticals,5,"Vamakshi Shetty, Gaurika Modi, Ekbal Majumdar, Jason Sathe, Vyanjana Narang",11-50,2,Early Stage Venture,—,Medium,—,292996,1977.5787080116352,3024.1866829735527,9,274
"Johal, Uppal and Mane Solutions",FMCG,"Jammu and Kashmir, India",$10B+,Active,2020,—,Consumer Goods,5,"Mohini Roy, Riya Golla, Kashvi Pradhan, Chakradhar Verma, Oliver Balay",51-100,7,Seed,$10M to $50M,—,—,322405,1378.247836443824,24.818141536588797,1,1837
Sawhney PLC Technologies,IT & BPM,"Chhattisgarh, India",Less than $1M,Closed,2020,Series A,Information Technology,4,"Amruta Gole, Lucky Tara, Vidhi Batta, Chanchal Shukla",1-10,3,M&A,$0,—,Low,7490,-22.284929804422916,8860.559431426907,3,370
Sanghvi-Vyas Labs,Medical Devices,"Jammu and Kashmir, India",$1M to $10M,Closed,2020,Series B,Healthcare,0,—,1-10,2,—,—,Growing,Low,274,-18.85237382052199,2877.8225301759035,10,323
Murthy Inc Solutions,Services,"Kerala, India",Less than $1M,Closed,2017,—,Services,0,—,1-10,0,—,—,Growing,Low,6645,-68.6400049966511,5375.869302855109,5,1893
Chatterjee Ltd Pvt Ltd,Tourism and Hospitality,"Arunachal Pradesh, India",$100M to $500M,Active,2018,—,Hospitality,3,"Ekiya Salvi, Pavani Dhar, Wishi Golla",1001-5000,4,M&A,$10M to $50M,Medium,Low,1322547,641.8928687048759,1590.325293586687,9,1636
Raman-Pradhan Technologies,Insurance,"Jharkhand, India",Less than $1M,Active,2017,Series C,Financial Services,0,—,251-500,1,Seed,$1M to $5M,Medium,High,540754,1581.098550340606,9334.01113515264,6,116
Chhabra-Bajwa Labs,Textiles,"Punjab, India",Less than $1M,Active,2018,IPO,Textiles,1,Udant Vig,51-100,3,Growing,$100M to $500M,—,High,1071195,782.8603575089179,1920.294339905711,0,1640
Hayre Group Labs,Services,"Kerala, India",$1M to $10M,Closed,2018,Series B,Services,4,"Watika Lanka, Eesha Seshadri, Samaksh Varma, Samar Gulati",11-50,1,Growing,$500K to $1M,High,Low,44202,-44.460353134637906,395.0449615078979,4,862
Lad-Hayre Innovations,Insurance,"Odisha, India",$10M to $50M,Active,2023,—,Financial Services,3,"Yauvani Chahal, Ira Dasgupta, Peter Vig",101-250,4,Seed,$0,High,Low,168921,1461.3374932006468,4060.6337130757474,9,496
